Q,A,label
세종 말년에 불교에 대한 태도가 어떻게 변했나요?,재위 말년에는 짐은 왕실과 개인적으로 불교를 지원했으며 짐과 유신들 사이에서 불교를 둘러싼 대립과 논란이 계속되었다.,1
세종은 어떤 사항들을 불교와 관련하여 시행했나요?,"짐은 사사노비를 국가에 귀속시키고, 불교 종파를 선교 양종으로 병합하며, 사사 및 상주승의 수를 재정리하는 등의 조치를 시행했다.",1
세종 말년에 왜 불교에 대한 태도가 변했나요?,"즉위 26년에 광평대군, 그 이듬해에 평원대군, 즉위 28년에 왕후를 연이어 잃게 됨에 따라 정신적으로 큰 타격을 입었다는 이유도 있었으며 짐의 건강이 악화된 것도 불교로 기우는 데 크게 영향을 주었다.",1
세종이 불교에 대한 태도를 완전히 변화시킨 이유는 무엇일까요?,"짐의 불교에 대한 태도 변화는 광평대군과 평원대군의 사망, 왕비의 사망 등으로 인해 짐이 정신적으로 큰 타격을 입은 것이 원인이다.",1
세종이 불교를 정리하고 약화시킨 이유는 무엇일까요?,짐은 불교의 세속권을 정리하고 약화시킨 이유로 불교의 세속적인 권력을 재정리하고 규제하기 위해 이러한 조치를 취했다.,1
세종은 어떤 방식으로 불교를 제한했나요?,"짐은 사사노비를 정리하여 국가에 귀속시키고, 불교 종파를 선교 양종으로 병합하며, 사사 및 상주승의 수를 재정리하는 등의 조치를 통해 불교를 정리하고 제한했다.",1
세종은 왕실과 개인적으로 불교를 어떻게 지지했을까요?,"짐은 왕실과 개인적으로 불교를 지지하기 위해 효령대군의 수륙재 행사, 흥천사의 사리각 중수, 안거회 및 경찬회의 설행 등을 지원하였다.",1
세종 말년에 왜 불교와 관련하여 대립과 논란이 발생했나요?,"재위 말년에 불교와 관련하여 대립과 논란이 발생한 이유는 광평대군과 평원대군의 사망, 왕비의 사망 등으로 인해 짐이 정신적으로 큰 타격을 입어 불교에 대한 태도가 변화했기 때문이다.",1
세종은 어떤 이유로 불교에 대한 시책을 시행했나요?,불교의 세속적인 영향력을 제한하고 국가의 통제 아래로 불교를 조직화하기 위해 짐은 불교의 세속권을 재정리하고 약화 목적으로 시책을 시행했다.,1
세종은 어떻게 사사노비를 정리하였나요?,"짐은 사사노비를 정리하여 국가에 귀속시켜 사사들의 소속과 활동을 국가의 통제 아래로 두고, 불교의 세속권을 약화시키는 데 기여했다.",1
세종은 어떻게 불교 종파를 병합하고 사사 및 상주승의 수를 재정리했나요?,"짐은 선교 양종으로 불교 종파를 병합하고 사사 및 상주승의 수를 재정리하여 각각 18사 합 36사를 본사로 인정, 사원전은 7,760결, 상주승은 3,600인으로 삭감 및 정리하였다.",1
세종은 왕실과 개인적으로 불교를 어떻게 지지했나요?,"짐은 효령대군의 수륙재 행사와 흥천사의 사리각 중수, 석탑 중수, 안거회 및 경찬회의 설행 등을 지원하였으며, 왕비 소헌왕후의 사망 시에는 불경의 금서와 전경법회를 강행하였다.",1
세종 말년에 불교에 대한 태도가 어떻게 변했나요?,재위 말년에는 짐은 왕실과 개인적으로 불교를 지원했으며 짐과 유신들 사이에서 불교를 둘러싼 대립과 논란이 계속되었다.,1
세종은 왜 불교의 세속권을 약화시키려 했나요?,짐은 불교의 세속적인 영향력을 줄이고 국가의 통제를 강화하기 위해 불교의 세속권을 약화시켰다.,1
세종은 왕실과 개인적으로 불교를 어떻게 지원했나요?,"짐은 왕실과 개인적으로 불교를 지원하기 위해 효령대군의 수륙재 행사, 흥천사의 사리각 중수, 석탑 중수, 안거회 및 경찬회의 설행 등을 지원하였으며, 왕비 소헌왕후의 사망 시에는 불경의 금서와 전경법회를 강행하여 불교를 지지했다.",1
세종은 어떤 사건들을 불교 지지를 위해 강행하였나요?,"짐은 즉위 14년에 효령대군의 수륙재 행사, 즉위 17년부터 24년까지는 흥천사의 사리각 중수, 석탑 중수, 안거회 및 경찬회의 설행, 즉위 28년에는 왕비의 사망 시에 불경의 금서와 전경법회를 강행하는 등 불교 지지를 위해 강행하였다.",1
세종의 불교 시책은 어떤 목적을 가지고 있었나요?,짐의 불교 시책은 불교의 세속적인 영향력을 제한하고 국가의 통제 아래로 불교를 조직화하려는 목적을 가지고 있었다. 짐은 불교의 세속권을 정리하고 약화시킴으로써 유교 정치 및 사회의 기반이 되는 시대를 형성하고자 했다.,1
세종은 어떤 다른 문화 사업을 수행했나요?,"짐은 조선통보의 주조, 언문청(정음청)을 중심으로 한 불서언해 사업을 수행했다. 또한, 단군사당을 따로 세워 봉사하게 하고, 신라, 고구려, 백제의 시조묘를 사전에 올려 치제하게 했으며, 춘추관, 충주 외에도 성주, 전주 등의 사고를 추가 설치하여 문화 사업에도 힘썼다.",1
세종대에는 불교와 유교 사이에서 어떤 갈등이 있었나요?,"불교와 유교 사이에서 불교의 세속성과 유교의 정치 이념, 학문, 철학, 윤리적 면의 충돌과 갈등이 있었다. 유교는 정치적인 이념과 사회 질서를 제공하면서도 종교적인 욕구를 충족시킬 수 없었기 때문에, 유불 간의 갈등이 발생하였다.",1
세종이 시행한 금속화폐와 언문청 등의 사업은 어떤 의미를 가지고 있었나요?,"짐이 시행한 금속화폐와 언문청 등의 사업은 조선통치의 체제 강화와 문화 발전을 위한 중요한 의미를 가지고 있다. 금속화폐는 통일된 통화 체제의 확립을 통해 경제적인 안정을 도모하고, 언문청은 한글의 표기법인 정음을 중심으로 언어 및 문화의 표준화와 발전을 목표로 했다.",1
세종이 조선통보를 주조한 이유는 무엇인가요?,"짐은 조선통보를 주조하여 통일된 통화 체제를 확립하고 경제적인 안정을 도모하기 위한 목적이 있었습니다. 조선통보는 조선시대의 주요 화폐로 사용되며, 짐은 이를 주조하여 통화의 안정성과 통일성을 강화하였습니다.",1
조선 시대에는 어떤 종교가 주류였나요?,조선 시대에는 유교가 주류 종교였다.,1
세종대왕이 어떻게 불교를 대우했는지 알려줘,짐은 불교를 세속권의 정리와 불교행사를 제한했다.,1
세종은 불교를 어떻게 대우했나요?,짐은 불교를 세속권의 정리와 불교행사를 제한했다.,1
세종이 불교를 완전히 없앨 수는 없다고 언급한 이유는 무엇인가요?,짐이 불교를 완전히 없앨 수 없다고 언급한 이유는 유신들의 극단적인 불교전폐론에도 불구하고 조종상전의 불교를 급히 없앨 수 없다고 판단했기 때문이다.,1
세종은 어떤 불교 시책을 시행했나요?,"짐은 사사노비를 정리하여 국가에 귀속시키고, 불교 종파를 선교 양종으로 병합하고 사사 및 상주승의 수를 재정리하는 등의 불교 시책을 시행했다.",1
왕실과 세종 개인적으로는 불교를 어떻게 대했나요?,"왕실과 짐 개인적으로는 불교를 지지했다. 짐은 효령대군의 수륙재 행사와 흥천사의 사리각 중수, 석탑 중수, 안거회 및 경찬회의 설행 등을 지원하였으며, 왕비 소헌왕후의 사망 시에는 불경의 금서와 전경법회를 강행했다.",1
세종 말년에는 불교에 대한 태도가 어떻게 변화했나요?,재위 말년에는 짐은 왕실과 개인적으로 불교를 지원했으며 짐과 유신들 사이에서 불교를 둘러싼 대립과 논란이 계속되었다.,1
세종은 불교 외에 다른 종교에도 관심을 가졌나요?,"짐은 불교 외에도 조선통보의 주조, 언문청을 중심으로 한 불서언해 사업 등 다른 종교와 관련된 사업에도 관심을 가졌다.",1
세종은 어떤 문화 사업을 추진했나요?,"짐은 단군사당을 세워 봉사하게 하고 신라, 고구려, 백제의 시조묘를 사전에 올려 치제하게 했다. 또한, 춘추관과 충주 이외에 성주와 전주를 추가 설치하여 문화 사업을 추진했다.",1
세종 말년에 왜 불교와 관련하여 대립과 논란이 발생했나요?,"재위 말년에 불교와 관련하여 대립과 논란이 발생한 이유는 광평대군과 평원대군의 사망, 왕비의 사망 등으로 인해 짐이 정신적으로 큰 타격을 입어 불교에 대한 태도가 변화했기 때문이다.",1
세종은 어떤 이유로 불교에 대한 시책을 시행했나요?,불교의 세속적인 영향력을 제한하고 국가의 통제 아래로 불교를 조직화하기 위해 짐은 불교의 세속권을 재정리하고 약화 목적으로 시책을 시행했다.,1
세종은 어떻게 사사노비를 정리하였나요?,"짐은 사사노비를 정리하여 국가에 귀속시켜 사사들의 소속과 활동을 국가의 통제 아래로 두고, 불교의 세속권을 약화시키는 데 기여했다.",1
세종은 어떻게 불교 종파를 병합하고 사사 및 상주승의 수를 재정리했나요?,"짐은 선교 양종으로 불교 종파를 병합하고 사사 및 상주승의 수를 재정리하여 각각 18사 합 36사를 본사로 인정, 사원전은 7,760결, 상주승은 3,600인으로 삭감 및 정리하였다.",1
세종은 왕실과 개인적으로 불교를 어떻게 지지했나요?,"짐은 효령대군의 수륙재 행사와 흥천사의 사리각 중수, 석탑 중수, 안거회 및 경찬회의 설행 등을 지원하였으며, 왕비 소헌왕후의 사망 시에는 불경의 금서와 전경법회를 강행하였다.",1
세종 말년에 불교에 대한 태도가 어떻게 변했나요?,재위 말년에는 짐은 왕실과 개인적으로 불교를 지원했으며 짐과 유신들 사이에서 불교를 둘러싼 대립과 논란이 계속되었다.,1
세종은 어떤 사항들을 불교와 관련하여 시행했나요?,"짐은 사사노비를 국가에 귀속시키고, 불교 종파를 선교 양종으로 병합하며, 사사 및 상주승의 수를 재정리하는 등의 조치를 시행했다.",1
세종 말년에 왜 불교에 대한 태도가 변했나요?,"즉위 26년에 광평대군, 그 이듬해에 평원대군, 즉위 28년에 왕후를 연이어 잃게 됨에 따라 정신적으로 큰 타격을 입었다는 이유도 있었으며 짐의 건강이 악화된 것도 불교로 기우는 데 크게 영향을 주었다.",1
세종이 불교에 대한 태도를 완전히 변화시킨 이유는 무엇일까요?,"짐의 불교에 대한 태도 변화는 광평대군과 평원대군의 사망, 왕비의 사망 등으로 인해 짐이 정신적으로 큰 타격을 입은 것이 원인이다.",1
세종이 불교를 정리하고 약화시킨 이유는 무엇일까요?,짐은 불교의 세속권을 정리하고 약화시킨 이유로 불교의 세속적인 권력을 재정리하고 규제하기 위해 이러한 조치를 취했다.,1
세종은 어떤 방식으로 불교를 제한했나요?,"짐은 사사노비를 정리하여 국가에 귀속시키고, 불교 종파를 선교 양종으로 병합하며, 사사 및 상주승의 수를 재정리하는 등의 조치를 통해 불교를 정리하고 제한했다.",1
세종은 왕실과 개인적으로 불교를 어떻게 지지했을까요?,"짐은 왕실과 개인적으로 불교를 지지하기 위해 효령대군의 수륙재 행사, 흥천사의 사리각 중수, 안거회 및 경찬회의 설행 등을 지원하였다.",1
세종 말년에 왜 불교와 관련하여 대립과 논란이 발생했나요?,"재위 말년에 불교와 관련하여 대립과 논란이 발생한 이유는 광평대군과 평원대군의 사망, 왕비의 사망 등으로 인해 짐이 정신적으로 큰 타격을 입어 불교에 대한 태도가 변화했기 때문이다.",1
세종은 어떤 이유로 불교에 대한 시책을 시행했나요?,불교의 세속적인 영향력을 제한하고 국가의 통제 아래로 불교를 조직화하기 위해 짐은 불교의 세속권을 재정리하고 약화 목적으로 시책을 시행했다.,1
세종은 어떻게 사사노비를 정리하였나요?,"짐은 사사노비를 정리하여 국가에 귀속시켜 사사들의 소속과 활동을 국가의 통제 아래로 두고, 불교의 세속권을 약화시키는 데 기여했다.",1
세종은 어떻게 불교 종파를 병합하고 사사 및 상주승의 수를 재정리했나요?,"짐은 선교 양종으로 불교 종파를 병합하고 사사 및 상주승의 수를 재정리하여 각각 18사 합 36사를 본사로 인정, 사원전은 7,760결, 상주승은 3,600인으로 삭감 및 정리하였다.",1
세종은 왕실과 개인적으로 불교를 어떻게 지지했나요?,"짐은 효령대군의 수륙재 행사와 흥천사의 사리각 중수, 석탑 중수, 안거회 및 경찬회의 설행 등을 지원하였으며, 왕비 소헌왕후의 사망 시에는 불경의 금서와 전경법회를 강행하였다.",1
세종 말년에 불교에 대한 태도가 어떻게 변했나요?,재위 말년에는 짐은 왕실과 개인적으로 불교를 지원했으며 짐과 유신들 사이에서 불교를 둘러싼 대립과 논란이 계속되었다.,1
세종은 왜 불교의 세속권을 약화시키려 했나요?,짐은 불교의 세속적인 영향력을 줄이고 국가의 통제를 강화하기 위해 불교의 세속권을 약화시켰다.,1
세종은 왕실과 개인적으로 불교를 어떻게 지원했나요?,"짐은 왕실과 개인적으로 불교를 지원하기 위해 효령대군의 수륙재 행사, 흥천사의 사리각 중수, 석탑 중수, 안거회 및 경찬회의 설행 등을 지원하였으며, 왕비 소헌왕후의 사망 시에는 불경의 금서와 전경법회를 강행하여 불교를 지지했다.",1
세종은 어떤 사건들을 불교 지지를 위해 강행하였나요?,"짐은 즉위 14년에 효령대군의 수륙재 행사, 즉위 17년부터 24년까지는 흥천사의 사리각 중수, 석탑 중수, 안거회 및 경찬회의 설행, 즉위 28년에는 왕비의 사망 시에 불경의 금서와 전경법회를 강행하는 등 불교 지지를 위해 강행하였다.",1
세종의 불교 시책은 어떤 목적을 가지고 있었나요?,짐의 불교 시책은 불교의 세속적인 영향력을 제한하고 국가의 통제 아래로 불교를 조직화하려는 목적을 가지고 있었다. 짐은 불교의 세속권을 정리하고 약화시킴으로써 유교 정치 및 사회의 기반이 되는 시대를 형성하고자 했다.,1
세종은 어떤 다른 문화 사업을 수행했나요?,"짐은 조선통보의 주조, 언문청(정음청)을 중심으로 한 불서언해 사업을 수행했다. 또한, 단군사당을 따로 세워 봉사하게 하고, 신라, 고구려, 백제의 시조묘를 사전에 올려 치제하게 했으며, 춘추관, 충주 외에도 성주, 전주 등의 사고를 추가 설치하여 문화 사업에도 힘썼다.",1
세종대에는 불교와 유교 사이에서 어떤 갈등이 있었나요?,"불교와 유교 사이에서 불교의 세속성과 유교의 정치 이념, 학문, 철학, 윤리적 면의 충돌과 갈등이 있었다. 유교는 정치적인 이념과 사회 질서를 제공하면서도 종교적인 욕구를 충족시킬 수 없었기 때문에, 유불 간의 갈등이 발생하였다.",1
세종이 시행한 금속화폐와 언문청 등의 사업은 어떤 의미를 가지고 있었나요?,"짐이 시행한 금속화폐와 언문청 등의 사업은 조선통치의 체제 강화와 문화 발전을 위한 중요한 의미를 가지고 있다. 금속화폐는 통일된 통화 체제의 확립을 통해 경제적인 안정을 도모하고, 언문청은 한글의 표기법인 정음을 중심으로 언어 및 문화의 표준화와 발전을 목표로 했다.",1
세종이 조선통보를 주조한 이유는 무엇인가요?,"짐은 조선통보를 주조하여 통일된 통화 체제를 확립하고 경제적인 안정을 도모하기 위한 목적이 있었습니다. 조선통보는 조선시대의 주요 화폐로 사용되며, 짐은 이를 주조하여 통화의 안정성과 통일성을 강화하였습니다.",1
조선 시대에는 어떤 종교가 주류였나요?,조선 시대에는 유교가 주류 종교였다.,1
세종은 불교를 어떻게 대우했나요?,짐은 불교를 세속권의 정리와 불교행사를 제한했다.,1
세종이 불교를 완전히 없앨 수는 없다고 언급한 이유는 무엇인가요?,짐이 불교를 완전히 없앨 수 없다고 언급한 이유는 유신들의 극단적인 불교전폐론에도 불구하고 조종상전의 불교를 급히 없앨 수 없다고 판단했기 때문이다.,1
세종은 어떤 불교 시책을 시행했나요?,"짐은 사사노비를 정리하여 국가에 귀속시키고, 불교 종파를 선교 양종으로 병합하고 사사 및 상주승의 수를 재정리하는 등의 불교 시책을 시행했다.",1
왕실과 세종 개인적으로는 불교를 어떻게 대했나요?,"왕실과 짐 개인적으로는 불교를 지지했다. 짐은 효령대군의 수륙재 행사와 흥천사의 사리각 중수, 석탑 중수, 안거회 및 경찬회의 설행 등을 지원하였으며, 왕비 소헌왕후의 사망 시에는 불경의 금서와 전경법회를 강행했다.",1
세종 말년에는 불교에 대한 태도가 어떻게 변화했나요?,재위 말년에는 짐은 왕실과 개인적으로 불교를 지원했으며 짐과 유신들 사이에서 불교를 둘러싼 대립과 논란이 계속되었다.,1
세종은 불교 외에 다른 종교에도 관심을 가졌나요?,"짐은 불교 외에도 조선통보의 주조, 언문청을 중심으로 한 불서언해 사업 등 다른 종교와 관련된 사업에도 관심을 가졌다.",1
세종은 어떤 문화 사업을 추진했나요?,"짐은 단군사당을 세워 봉사하게 하고 신라, 고구려, 백제의 시조묘를 사전에 올려 치제하게 했다. 또한, 춘추관과 충주 이외에 성주와 전주를 추가 설치하여 문화 사업을 추진했다.",1
세종대에서는 어떤 사건을 피해갈 수 있게 되었나요?,임란 중 전주사고본이 전화를 면하고 오늘날 조선 전기의 실록이 전해질 수 있게 되었다.,1
조선 시대의 유교정치와 유교사회는 어떤 시대적 배경을 갖추고 있었나요?,"조선 시대는 유교정치와 유교사회의 기반이 다져진 시대였으며, 유교는 정치 이념, 학문, 철학, 윤리적인 면의 욕구를 채워주었지만 종교적인 욕구를 충족시킬 수 없었기 때문이다.",1
유교정치를 표방한 조선은 어떤 방식으로 억불책을 시행했나요?,"유교정치를 표방한 조선은 개국 초부터 억불책을 채택하여 시행했다. 이는 조종상전의 불교를 유지하면서도 불교의 세속권을 제한하고, 불교행사를 제한하는 방식으로 이루어졌다.",1
세종은 어떻게 불교의 세속권을 정리하고 제한했나요?,"짐은 즉위 1년에 사사노비를 정리하여 국가에 귀속시키는 등 불교의 세속권을 재정리했다. 또한, 즉위 6년에는 불교의 종파를 선교 양종으로 병합하고, 사사 및 상주승의 액수를 재정리하여 제한하는 등의 조치를 취했다.",1
세종은 왕실과 개인적으로 불교를 어떻게 지지했나요?,"왕실과 개인적으로 불교를 지지했다. 짐은 효령대군의 수륙재 행사, 흥천사의 사리각 중수와 석탑 중수, 안거회 및 경찬회의 설행 등을 지원하였으며, 왕비 소헌왕후의 사망 시에는 불경의 금서와 전경법회를 강행했다.",1
세종 말년에는 불교에 대한 태도가 어떻게 변했나요?,재위 말년에는 짐은 왕실과 개인적으로 불교를 지원했으며 짐과 유신들 사이에서 불교를 둘러싼 대립과 논란이 계속되었다.,1
조선시대에는 어떤 불교 관련 사업이 진행되었나요?,"조선시대에는 조선통보의 주조와 언문청을 중심으로 한 불서언해 사업이 진행되었다. 또한, 단군사당을 세우고 신라, 고구려, 백제의 시조묘를 사전에 올려 치제하는 등의 사업이 이루어졌다.",1
조선은 불교를 어떻게 대우했나요?,"조선은 개국 초부터 억불책을 시행하여 불교를 억압했으며, 짐의 재위 기간 또한 불교에 대한 제한과 제약이 계속되었다.",1
세종은 불교의 세속권을 어떻게 재정리했나요?,즉위 1년에는 사사노비를 국가에 귀속시켜 불교의 세속권을 약화시켰다.,1
세종의 불교에 대한 태도는 어떻게 변화했나요?,재위 말년에는 짐은 왕실과 개인적으로 불교를 지원했으며 짐과 유신들 사이에서 불교를 둘러싼 대립과 논란이 계속되었다.,1
세종은 불교 외에 어떤 문화 사업을 진행했나요?,"짐은 조선통보 주조, 언문청(정음청)을 중심으로 한 불서언해 사업 등의 문화 사업을 진행했으며 단군사당을 세우고 시조묘를 관리하는 등의 조치를 취했다.",1
세종은 어떤 화폐를 발행했나요?,짐은 금속화폐인 조선통보를 주조하여 사용하였다.,1
세종은 어떻게 언어 정리 사업을 추진했나요?,짐은 언문청을 설치하여 한글의 체계를 정리하고 발전시키는 노력을 했다.,1
세종은 사고와 관련하여 어떤 일을 하였나요?,짐은 2개의 사고로는 실록을 안전하게 보관하는 데 충분하지 못하다고 판단하여 경상도 성주와 전주에 사고를 추가 건립했다.,1
세종은 어떻게 조선의 실록을 전해지게 했나요?,짐은 실록을 기록하는 역할을 수행하는 전주사고본을 설치하여 조선 전기의 실록을 보존하게 했다.,1
세종은 불교 외에 어떤 문화 사업을 진행했나요?,"짐은 조선통보 주조, 언문청(정음청)을 중심으로 한 불서언해 사업 등의 문화 사업을 진행했으며 단군사당을 세우고 시조묘를 관리하는 등의 조치를 취했다.",1
세종은 어떤 화폐를 발행했나요?,짐은 금속화폐인 조선통보를 주조하여 사용하였다.,1
세종은 어떻게 언어 정리 사업을 추진했나요?,짐은 언문청을 설치하여 한글의 체계를 정리하고 발전시키는 노력을 했다.,1
세종은 사고와 관련하여 어떤 일을 하였나요?,짐은 2개의 사고로는 실록을 안전하게 보관하는 데 충분하지 못하다고 판단하여 경상도 성주와 전주에 사고를 추가 건립했다.,1
세종은 어떻게 조선의 실록을 전해지게 했나요?,짐은 실록을 기록하는 역할을 수행하는 전주사고본을 설치하여 조선 전기의 실록을 보존하게 했다.,1
세종은 불교 외에 어떤 문화 사업을 진행했나요?,"짐은 조선통보 주조, 언문청(정음청)을 중심으로 한 불서언해 사업 등의 문화 사업을 진행했으며 단군사당을 세우고 시조묘를 관리하는 등의 조치를 취했다.",1
세종대왕이 어떤 화폐를 발행했는지 궁금해,짐은 금속화폐인 조선통보를 주조하여 사용하였다.,1
세종은 어떤 화폐를 발행했나요?,짐은 금속화폐인 조선통보를 주조하여 사용하였다.,1
세종은 어떻게 언어 정리 사업을 추진했나요?,짐은 언문청을 설치하여 한글의 체계를 정리하고 발전시키는 노력을 했다.,1
세종은 사고와 관련하여 어떤 일을 하였나요?,짐은 2개의 사고로는 실록을 안전하게 보관하는 데 충분하지 못하다고 판단하여 경상도 성주와 전주에 사고를 추가 건립했다.,1
세종은 어떻게 조선의 실록을 전해지게 했나요?,짐은 실록을 기록하는 역할을 수행하는 전주사고본을 설치하여 조선 전기의 실록을 보존하게 했다.,1
세종은 불교 외에 어떤 문화 사업을 진행했나요?,"짐은 조선통보 주조, 언문청(정음청)을 중심으로 한 불서언해 사업 등의 문화 사업을 진행했으며 단군사당을 세우고 시조묘를 관리하는 등의 조치를 취했다.",1
세종은 어떤 화폐를 발행했나요?,짐은 금속화폐인 조선통보를 주조하여 사용하였다.,1
세종은 불교를 완전히 없애려고 했나요?,짐은 유신들의 반대에도 불구하고 불경의 금서와 전경법회를 강행하는 등 불교를 지지하고 일부 행사를 강행했다.,1
세종이 추진한 문화 사업은 어떤 영향을 미쳤나요?,짐의 문화 사업은 조선의 언어 체계를 정비하고 발전시키는데 기여하였다.,1
조선시대의 유교와 불교 간의 갈등은 어떤 이유에서 비롯되었나요?,"조선시대의 유교와 불교 간의 갈등은 국가 통치 체제와 사회 질서의 충돌에서 비롯되었으며 그 이유는 유교는 조선시대의 국가 체제의 핵심 이념이었으며, 왕실과 사대부의 통치 기반을 형성했지만 불교는 유교와 경쟁 관계에 있었으며, 사회의 다양한 계층에서 지지를 받기도 했기 때문이다.",1
세종은 어떻게 언어 정리 사업을 추진했나요?,짐은 언문청을 설치하여 한글의 체계를 정리하고 발전시키는 노력을 했다.,1
세종은 사고와 관련하여 어떤 일을 하였나요?,짐은 2개의 사고로는 실록을 안전하게 보관하는 데 충분하지 못하다고 판단하여 경상도 성주와 전주에 사고를 추가 건립했다.,1
세종은 어떻게 조선의 실록을 전해지게 했나요?,짐은 실록을 기록하는 역할을 수행하는 전주사고본을 설치하여 조선 전기의 실록을 보존하게 했다.,1
농사직설은 무엇인가요?,짐이 각 도 관찰사로 하여금 경험이 많은 독농가들로부터 농업기술을 수집하게 하여 그 자료를 편찬하였으며 우리 나라에 현존하는 가장 오래된 농서이다.,2
농사직설에 대해 알려주세요.,짐이 각 도 관찰사로 하여금 경험이 많은 독농가들로부터 농업기술을 수집하게 하여 그 자료를 편찬하였으며 우리 나라에 현존하는 가장 오래된 농서이다.,2
농사직설은 어떤 목적으로 만들어졌나요?,국가의 경제가 완전히 농업에 의존하던 당시에 농업기술의 발전은 국가의 부강 여부가 달려있는 중요한 문제였기 때문에 이 책은 짐의 농업진흥을 위한 노력의 산물이라 할 수 있다.,2
세종의 농업기술 편찬은 어떤 목적을 가지고 이루어졌나요?,짐이 각 도 관찰사로 하여금 경험이 많은 독농가들로부터 농업기술을 수집하게 하여 그 자료를 편찬하였으며 우리 나라에 현존하는 가장 오래된 농서이다. 국가의 경제가 완전히 농업에 의존하던 당시에 농업기술의 발전은 국가의 부강 여부가 달려있는 중요한 문제였다. 이 책은 짐의 농업진흥을 위한 노력의 산물이라 할 수 있다.,2
세종이 왜 농업기술의 발전을 중요하게 생각했을까요?,짐은 국가의 경제가 농업에 의존하는 당시에 농업기술의 발전을 통해 국가의 부강을 목표로 하였다. ,2
농사직설은 어떤 특징을 가지고 있나요?,이 책은 짐의 농업진흥을 위한 노력의 산물로서 우리나라에 현존하는 가장 오래된 농서이다. ,2
농사직설이 뭔가요?,짐이 각 도 관찰사로 하여금 경험이 많은 독농가들로부터 농업기술을 수집하게 하여 그 자료를 편찬하였으며 우리 나라에 현존하는 가장 오래된 농서이다.,2
농사직설에 대해 알고 싶어요.,짐이 각 도 관찰사로 하여금 경험이 많은 독농가들로부터 농업기술을 수집하게 하여 그 자료를 편찬하였으며 우리 나라에 현존하는 가장 오래된 농서이다.,2
농사직설에 대해 설명해주세요.,짐이 각 도 관찰사로 하여금 경험이 많은 독농가들로부터 농업기술을 수집하게 하여 그 자료를 편찬하였으며 우리 나라에 현존하는 가장 오래된 농서이다.,2
농사직설이란?,짐이 각 도 관찰사로 하여금 경험이 많은 독농가들로부터 농업기술을 수집하게 하여 그 자료를 편찬하였으며 우리 나라에 현존하는 가장 오래된 농서이다.,2
농사직설이 어떻게 편찬되었나요?,짐이 각 도 관찰사로 하여금 경험이 많은 독농가들로부터 농업기술을 수집하게 하여 그 자료를 편찬하였지.,2
농사직설이 어떤 과정을 거쳐서 편찬되었나요?,짐이 각 도 관찰사로 하여금 경험이 많은 독농가들로부터 농업기술을 수집하게 하여 그 자료를 편찬하였지.,2
농사직설은 어떤 과정을 통해 세상에 나오게 되었나요?,짐이 각 도 관찰사로 하여금 경험이 많은 독농가들로부터 농업기술을 수집하게 하여 그 자료를 편찬하였지.,2
농사직설은 어떻게 세상에 나오게 되었나요?,짐이 각 도 관찰사로 하여금 경험이 많은 독농가들로부터 농업기술을 수집하게 하여 그 자료를 편찬하였지.,2
농업기술의 발전이 왜 국가의 부강과 관련이 있었나요?,당시 국가의 경제는 농업에 의존하고 있었기 때문에 농업기술의 발전은 국가의 부강 여부에 직결되는 중요한 문제였다.,2
세종의 농업기술 서적 편찬이 국가에 어떤 영향을 미쳤나요?,짐의 농업기술 편찬은 국가의 농업진흥을 도모하여 경제적인 발전과 국가의 부강을 이루는 데 기여하였다. ,2
세종의 농업기술 서적 편찬은 어떤 자료를 바탕으로 이루어졌나요?,짐은 각 도 관찰사를 통해 경험이 많은 독농가들로부터 농업기술 자료를 수집하여 편찬하였다.,2
세종의 농업기술 서적 편찬은 어떤 시기에 이루어졌나요?,농업기술 편찬은 짐의 재위 시기에 이루어졌다. ,2
세종의 농업기술 서적 편찬은 어떤 영향을 미쳤나요?,짐의 농업기술 편찬은 농업 생산성의 향상과 농업 부문의 발전에 기여하여 국가의 경제적인 성장을 이루는 데 도움을 주었다.,2
세종의 농업기술 서적 편찬은 어떤 방식으로 이루어졌나요?,"짐은 관찰사를 통해 경험이 많은 독농가들로부터 농업기술을 수집하고, 이를 토대로 자료를 편찬하여 농업기술의 발전을 도모하였다.",2
세종의 농업기술 서적 편찬은 어떤 결과를 얻었나요?,짐의 농업기술 편찬은 농업 부문의 발전과 농민들의 경제적인 이익을 도모하여 국가 전체의 발전에 기여하였다.,2
세종의 농업기술 서적 편찬은 어떤 방식으로 전파되었나요?,"짐의 농업기술 편찬은 서적 형태로 출판되어 다양한 지역에 배포되었으며, 농민들이 이를 통해 농업기술을 학습하고 적용할 수 있었다.",2
세종의 농업기술 서적 편찬이 농업 부문 이외에도 어떤 영향을 미쳤나요?,"짐의 농업기술 편찬은 농업 부문 뿐만 아니라 국가의 과학기술 발전에도 영향을 주었으며, 더 나아가 국민들의 교양과 문화 수준 향상에도 기여하였다",2
세종의 농업기술 서적 편찬은 농민들의 삶에 어떤 변화를 가져왔나요?,"짐의 농업기술 편찬은 농민들의 농작물 생산성을 향상시켜 더 많은 수확물을 얻을 수 있게 하였으며, 이로써 농민들의 생활 수준이 향상되었다.",2
세종의 농업기술 서적 편찬은 국가 경제에 어떤 영향을 미쳤나요?,"짐의 농업기술 편찬은 농업 생산성의 향상으로 인해 국가의 식량 생산량이 증가하였고, 이는 국가 경제의 안정성과 성장에 긍정적인 영향을 미쳤다.",2
